Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d008548	-78.02549925	6.47E-249	1.84E-05	-2.186097707	544	Negative
Zm00001d043121	-76.73720696	0	1.78E-05	-2.103903771	532	Negative
Zm00001d027948	-74.95279993	2.50E-197	2.40E-05	-1.997278756	478	Negative
Zm00001d018966	-74.3667792	7.46E-284	1.84E-05	-1.963913331	548	Negative
Zm00001d019933	-73.68668904	1.20E-244	1.94E-05	-1.926135602	310	Negative
Zm00001d046318	-73.5176822	1.05E-273	1.83E-05	-1.916898699	522	Negative
Zm00001d009296	-72.87969455	3.62E-234	1.79E-05	-1.882554668	507	Negative
Zm00001d033710	-72.84533084	2.90E-209	2.35E-05	-1.880727809	404	Negative
Zm00001d033071	-72.68499817	1.88E-176	2.27E-05	-1.872234575	444	Negative
Zm00001d024960	-72.14057842	2.25E-298	1.80E-05	-1.84376279	555	Negative
Zm00001d036370	-71.90594173	1.17E-238	1.81E-05	-1.831663054	545	Negative
Zm00001d024996	-71.89754202	1.72122688511303e-317	1.82E-05	-1.831231774	562	Negative
Zm00001d031811	-71.02128555	6.37E-169	2.41E-05	-1.786936054	412	Negative
Zm00001d028816	-70.9575852	3.80E-211	2.06E-05	-1.78376668	505	Negative
Zm00001d035753	-70.74872873	8.50E-200	2.10E-05	-1.773428769	322	Negative
Zm00001d033455	-70.65645244	2.18E-276	1.82E-05	-1.768884795	554	Negative
Zm00001d031158	-70.47611845	2.83E-285	1.79E-05	-1.760045688	553	Negative
Zm00001d007753	-70.31955379	3.99E-287	1.82E-05	-1.752415314	560	Negative
Zm00001d018064	-69.68998977	1.06E-205	1.97E-05	-1.722152481	480	Negative
Zm00001d033909	-69.41514085	1.58E-229	1.98E-05	-1.709113763	267	Negative
Zm00001d048947	-69.35779587	7.31E-253	1.79E-05	-1.706408019	534	Negative
Zm00001d000824	-69.24961494	5.80E-247	1.84E-05	-1.701343709	326	Negative
Zm00001d024207	-68.5384436	2.46E-231	1.83E-05	-1.668338052	491	Negative
Zm00001d024210	-68.19607328	3.20E-256	1.77E-05	-1.652723222	538	Negative
Zm00001d023617	-68.08781435	7.74E-193	1.83E-05	-1.647820673	532	Negative
Zm00001d027524	-67.6853914	6.40E-202	2.44E-05	-1.629741577	426	Negative
Zm00001d045361	-67.53742975	1.39E-261	1.85E-05	-1.623152015	452	Negative
Zm00001d043988	-67.06459837	2.34E-263	1.77E-05	-1.602288952	542	Negative
Zm00001d034382	-66.71117304	6.41E-183	2.13E-05	-1.586890061	454	Negative
Zm00001d028651	-66.32165101	3.58E-239	1.81E-05	-1.57010668	487	Negative
Zm00001d036164	-65.77329185	6.22E-255	1.80E-05	-1.546805692	488	Negative
Zm00001d044147	-65.75524973	8.94E-219	1.80E-05	-1.546045255	521	Negative
Zm00001d004921	-65.68971685	3.37E-262	1.81E-05	-1.543288212	530	Negative
Zm00001d037281	-65.659877	9.66E-212	1.82E-05	-1.542032888	251	Negative
Zm00001d034097	-65.32668436	2.11E-212	1.87E-05	-1.528102801	403	Negative
Zm00001d038841	-65.29995325	5.34E-233	1.81E-05	-1.526990489	539	Negative
Zm00001d042022	-64.82835364	6.93E-249	1.80E-05	-1.507515227	541	Negative
Zm00001d011080	-64.72900083	3.09E-257	1.79E-05	-1.503445649	540	Negative
Zm00001d025753	-64.69270966	3.08E-189	2.30E-05	-1.501961989	250	Negative
Zm00001d014121	-64.48586234	5.17E-240	1.89E-05	-1.493541127	439	Negative
Zm00001d018738	-64.09021462	5.16E-237	1.79E-05	-1.477551064	537	Negative
Zm00001d031813	-64.01605969	3.38E-203	1.78E-05	-1.474574922	474	Negative
Zm00001d015032	-63.91458124	1.24E-138	2.10E-05	-1.470512098	372	Negative
Zm00001d021901	-63.87587915	2.28E-226	1.81E-05	-1.468965618	511	Negative
Zm00001d037656	-63.38838365	3.16E-243	1.77E-05	-1.449626627	492	Negative
Zm00001d000825	-63.27419907	1.32E-161	2.19E-05	-1.44513443	122	Negative
Zm00001d017381	-63.00875735	1.82E-250	1.85E-05	-1.434744329	472	Negative
Zm00001d037005	-62.86926468	9.05E-190	1.96E-05	-1.429358557	365	Negative
Zm00001d024208	-62.81641588	5.16E-184	2.21E-05	-1.42726244	444	Negative
Zm00001d008587	-62.70844888	1.29E-140	1.84E-05	-1.423079288	359	Negative
Zm00001d002434	-62.58588135	3.36E-195	1.93E-05	-1.418346104	392	Negative
Zm00001d028750	-62.51469472	4.45E-142	1.85E-05	-1.415602944	527	Negative
Zm00001d038913	-62.40944232	5.04E-174	2.16E-05	-1.411557776	223	Negative
Zm00001d048949	-62.27912369	1.57E-201	1.76E-05	-1.406564903	523	Negative
Zm00001d030542	-62.15045052	5.07E-214	1.86E-05	-1.401651979	335	Negative
Zm00001d010375	-62.12195356	3.34E-255	1.80E-05	-1.400566169	421	Negative
Zm00001d042114	-61.87959782	2.78E-202	1.79E-05	-1.391364755	394	Negative
Zm00001d025146	-61.83312915	7.63E-245	1.80E-05	-1.389630733	153	Negative
Zm00001d019399	-61.36182063	2.23E-197	1.92E-05	-1.371901468	226	Negative
Zm00001d048020	-61.25114235	3.67E-230	1.79E-05	-1.367774316	418	Negative
Zm00001d053001	-60.63889357	1.20E-149	2.51E-05	-1.345159358	277	Negative
Zm00001d045311	-60.63275892	1.10E-172	1.85E-05	-1.344932485	467	Negative
Zm00001d048950	-60.16546429	1.71E-212	1.78E-05	-1.327908586	531	Negative
Zm00001d018734	-60.13732066	5.96E-189	1.88E-05	-1.326909689	207	Negative
Zm00001d042143	-60.08852126	1.98E-194	1.78E-05	-1.325124362	536	Negative
Zm00001d043586	-59.87578704	3.13E-203	1.77E-05	-1.317456388	196	Negative
Zm00001d020921	-59.72161802	1.67E-150	2.23E-05	-1.311922879	325	Negative
Zm00001d004366	-59.66978845	6.60E-204	1.81E-05	-1.310068063	315	Negative
Zm00001d004401	-59.63077568	2.43E-201	1.77E-05	-1.308672229	475	Negative
Zm00001d004524	-59.43603149	1.36E-199	1.76E-05	-1.301734967	287	Negative
Zm00001d043350	-59.2766912	8.58E-198	1.77E-05	-1.296073309	381	Negative
Zm00001d013610	-59.25466488	4.26E-180	2.04E-05	-1.295293198	192	Negative
Zm00001d044075	-59.05698207	1.08E-177	1.89E-05	-1.288310647	156	Negative
Zm00001d034160	-58.97344936	3.20E-195	1.76E-05	-1.285370232	428	Negative
Zm00001d021977	-58.95505264	4.61E-159	2.02E-05	-1.284726646	114	Negative
Zm00001d043386	-58.39633789	9.73E-161	1.80E-05	-1.265217569	366	Negative
Zm00001d043444	-58.27526572	6.19E-129	1.74E-05	-1.261025648	440	Negative
Zm00001d045391	-57.89708868	2.14E-187	1.78E-05	-1.248008099	348	Negative
Zm00001d014945	-57.87170759	1.68E-250	1.77E-05	-1.247138655	403	Negative
Zm00001d000018	-57.85608106	2.26E-196	1.86E-05	-1.246603619	463	Negative
Zm00001d034096	-57.76015697	3.59E-180	1.83E-05	-1.243323622	346	Negative
Zm00001d037057	-57.64473812	1.92E-118	1.89E-05	-1.23939107	426	Negative
Zm00001d002698	-57.56272819	2.48E-125	2.52E-05	-1.236596206	310	Negative
Zm00001d048087	-57.40174885	2.25E-163	2.08E-05	-1.231133914	253	Negative
Zm00001d047334	-57.38999462	6.98E-194	1.91E-05	-1.230735864	152	Negative
Zm00001d000017	-57.31718968	1.33E-179	1.82E-05	-1.228272926	375	Negative
Zm00001d028814	-57.31608448	2.18E-228	1.77E-05	-1.22823557	485	Negative
Zm00001d049423	-57.13076538	1.89E-123	2.18E-05	-1.221993926	188	Negative
Zm00001d029630	-57.1095855	1.28E-172	1.77E-05	-1.221275022	125	Negative
Zm00001d027525	-57.01034691	9.49E-223	1.77E-05	-1.21793953	352	Negative
Zm00001d049028	-56.8684489	3.69E-204	2.16E-05	-1.213184496	484	Negative
Zm00001d000294	-56.7092699	1.15E-189	1.78E-05	-1.207869963	517	Negative
Zm00001d043209	-56.69804629	1.80E-180	1.81E-05	-1.207495977	142	Negative
Zm00001d031779	-56.58381089	9.13E-171	1.88E-05	-1.203696948	304	Negative
Zm00001d000012	-56.36301127	8.49E-192	1.76E-05	-1.196376546	448	Negative
Zm00001d029648	-56.31934259	2.72E-221	1.78E-05	-1.194933525	490	Negative
Zm00001d040071	-56.15238179	5.13E-196	1.95E-05	-1.189429617	272	Negative
Zm00001d042376	-55.959848	9.17E-64	2.53E-05	-1.183108647	285	Negative
Zm00001d035646	-55.70555456	4.15E-184	1.86E-05	-1.1748023	444	Negative
Zm00001d052243	-55.5723845	7.18E-155	1.76E-05	-1.170471383	478	Negative
Zm00001d040245	-55.50337706	3.20E-215	1.73E-05	-1.168232248	462	Negative
Zm00001d037715	-55.28838932	3.07E-197	1.77E-05	-1.161278577	181	Negative
Zm00001d021336	-55.14401367	3.65E-83	1.97E-05	-1.156633777	460	Negative
Zm00001d002847	-54.89063548	4.00E-156	1.73E-05	-1.148501133	375	Negative
Zm00001d049288	-54.87075416	7.74E-179	1.75E-05	-1.147865425	457	Negative
Zm00001d014817	-54.85846211	2.61E-190	1.77E-05	-1.147472526	414	Negative
Zm00001d016401	-54.74981021	2.91E-189	1.79E-05	-1.144004252	313	Negative
Zm00001d007977	-54.64744609	2.33E-136	1.83E-05	-1.140745279	190	Negative
Zm00001d043323	-54.462488	1.83E-143	2.02E-05	-1.134872625	112	Negative
Zm00001d040248	-54.39237478	2.56E-113	1.76E-05	-1.132653277	404	Negative
Zm00001d046134	-54.18153048	2.26E-186	1.80E-05	-1.125998826	345	Negative
Zm00001d028815	-54.13209328	3.27E-231	1.75E-05	-1.124443026	482	Negative
Zm00001d049420	-54.08696908	8.66E-153	2.06E-05	-1.123025801	257	Negative
Zm00001d028718	-54.07519379	8.90E-78	2.45E-05	-1.122655057	230	Negative
Zm00001d002394	-54.07003395	7.43E-165	1.95E-05	-1.122499503	NA	additive
Zm00001d009797	-54.06083186	5.08E-124	1.77E-05	-1.122203362	406	Negative
Zm00001d042633	-54.05797776	1.25E-184	2.16E-05	-1.122113758	183	Negative
Zm00001d034197	-54.00549911	2.21E-194	1.76E-05	-1.120466712	312	Negative
Zm00001d007363	-53.9458919	3.83E-196	1.80E-05	-1.118598242	498	Negative
Zm00001d043216	-53.79374495	1.77E-81	2.19E-05	-1.113840253	397	Negative
Zm00001d029359	-53.73284706	1.89E-187	1.77E-05	-1.11193977	523	Negative
Zm00001d002436	-53.68603865	7.10E-266	1.76E-05	-1.110480935	316	Negative
Zm00001d011315	-53.6069894	8.89E-203	1.92E-05	-1.108022149	450	Negative
Zm00001d042934	-53.52658059	1.85E-214	1.87E-05	-1.105522296	134	Negative
Zm00001d020702	-53.45347394	1.75E-222	1.77E-05	-1.103254597	448	Negative
Zm00001d045884	-53.34803457	2.92E-209	1.78E-05	-1.099990232	354	Negative
Zm00001d045392	-53.23474916	4.72E-127	1.94E-05	-1.096491169	272	Negative
Zm00001d050293	-53.12364419	6.17E-110	2.03E-05	-1.093067948	369	Negative
Zm00001d025984	-53.06363211	2.58E-155	1.80E-05	-1.09122189	474	Negative
Zm00001d032947	-52.89552315	1.97E-198	1.74E-05	-1.086063914	446	Negative
Zm00001d034095	-52.84198778	4.90E-183	1.77E-05	-1.084425187	352	Negative
Zm00001d002295	-52.79696893	1.33E-130	1.82E-05	-1.083048592	469	Negative
Zm00001d036197	-52.65857405	1.71E-202	2.06E-05	-1.078827365	145	Negative
Zm00001d023811	-52.57223945	4.31E-209	1.76E-05	-1.076196346	483	Negative
Zm00001d009646	-52.46026322	2.91E-60	2.23E-05	-1.07279418	403	Negative
Zm00001d052340	-52.34880074	2.34E-87	1.76E-05	-1.069415571	484	Negative
Zm00001d029546	-52.33835316	7.33E-179	1.75E-05	-1.069099293	305	Negative
Zm00001d032825	-52.25090247	7.78E-163	1.83E-05	-1.066472845	145	Negative
Zm00001d003190	-52.22271869	1.90E-137	1.73E-05	-1.065603333	499	Negative
Zm00001d017287	-51.99128099	2.44E-99	1.94E-05	-1.058634141	202	Negative
Zm00001d013907	-51.96858572	3.52E-168	1.77E-05	-1.057949806	508	Negative
Zm00001d048903	-51.90639955	2.58E-144	1.74E-05	-1.05608316	324	Negative
Zm00001d024821	-51.68945501	5.88E-165	1.75E-05	-1.049589967	396	Negative
Zm00001d014070	-51.4232562	6.71E-122	1.88E-05	-1.041662308	78	Negative
Zm00001d052016	-51.39234292	7.33E-100	2.44E-05	-1.040744498	79	Negative
Zm00001d020652	-51.38133363	7.42E-168	1.76E-05	-1.040417775	405	Negative
Zm00001d052813	-51.35488647	7.84E-168	2.53E-05	-1.039633205	153	Negative
Zm00001d037632	-51.27155774	6.12E-86	2.00E-05	-1.037164013	366	Negative
Zm00001d043663	-51.22494305	4.46E-148	1.91E-05	-1.035788946	67	Negative
Zm00001d023774	-51.13159992	4.67E-166	1.76E-05	-1.033026241	396	Negative
Zm00001d052209	-51.13115343	3.95E-176	1.74E-05	-1.033013041	426	Negative
Zm00001d013202	-51.09377522	9.43E-128	1.75E-05	-1.031909992	381	Negative
Zm00001d027423	-51.06536697	2.14E-177	1.77E-05	-1.031072214	329	Negative
Zm00001d031815	-51.04275969	1.07E-131	1.81E-05	-1.030408039	321	Negative
Zm00001d020251	-50.88483083	1.81E-146	1.79E-05	-1.025759427	155	Negative
Zm00001d035178	-50.7961225	1.33E-110	1.93E-05	-1.023161068	419	Negative
Zm00001d042099	-50.73596209	3.28E-226	1.76E-05	-1.021393212	191	Negative
Zm00001d028303	-50.4347997	5.56E-148	1.74E-05	-1.012600534	455	Negative
Zm00001d033517	-50.35813668	4.53E-172	1.81E-05	-1.010370826	443	Negative
Zm00001d044906	-50.33241363	5.71E-97	2.22E-05	-1.009623455	189	Negative
Zm00001d012322	-50.28347746	1.48E-153	1.76E-05	-1.008202705	367	Negative
Zm00001d020953	-50.25803603	5.18E-185	1.80E-05	-1.007465607	330	Negative
Zm00001d002393	-50.22012823	3.85E-149	1.80E-05	-1.006365581	90	Negative
Zm00001d005654	-50.20403202	5.33E-153	1.74E-05	-1.005899164	241	Negative
Zm00001d010218	-50.19759028	1.79E-143	2.01E-05	-1.005712545	237	Negative
Zm00001d047436	-50.16711415	1.27E-204	1.81E-05	-1.004829971	271	Negative
Zm00001d047736	-50.15922825	1.98E-110	2.25E-05	-1.004603513	251	Negative
Zm00001d027048	-50.13559515	5.13E-41	2.16E-05	-1.003957459	327	Negative
Zm00001d030858	-50.12747216	5.77E-99	1.78E-05	-1.003682766	176	Negative
Zm00001d040837	-49.97546609	2.39E-76	2.02E-05	-0.999292275	267	Negative
Zm00001d043994	-49.93742149	4.67E-179	1.88E-05	-0.998195775	221	Negative
Zm00001d019726	-49.78209679	7.21E-150	1.76E-05	-0.993726303	211	Negative
Zm00001d031157	-49.75818957	7.25E-109	2.04E-05	-0.993050139	417	Negative
Zm00001d016947	-49.69234375	7.17E-161	1.74E-05	-0.991150116	184	Negative
Zm00001d026078	-49.64926009	4.23E-96	2.06E-05	-0.989916819	188	Negative
Zm00001d017622	-49.61993837	4.17E-109	1.77E-05	-0.989075208	408	Negative
Zm00001d017969	-49.49408071	4.48E-126	1.98E-05	-0.985475631	NA	additive
Zm00001d032618	-49.44446339	6.28E-245	1.72E-05	-0.984058997	243	Negative
Zm00001d032608	-49.37605512	5.62E-203	1.75E-05	-0.982108161	411	Negative
Zm00001d025901	-49.36975698	6.42E-127	1.78E-05	-0.981928686	431	Negative
Zm00001d023768	-49.26796632	7.98E-156	1.75E-05	-0.9790311	489	Negative
Zm00001d023869	-49.25099958	1.49E-92	1.86E-05	-0.978548689	161	Negative
Zm00001d050164	-49.2344977	1.83E-181	1.74E-05	-0.978079649	290	Negative
Zm00001d010175	-49.20156091	9.18E-98	2.21E-05	-0.977144861	184	Negative
Zm00001d031673	-49.19110746	2.77E-65	2.30E-05	-0.976847076	143	Negative
Zm00001d037318	-49.14075079	2.83E-149	1.76E-05	-0.97541793	435	Negative
Zm00001d003884	-49.11555253	3.83E-174	1.75E-05	-0.974703932	174	Negative
Zm00001d027047	-49.06991785	2.88E-29	2.30E-05	-0.973410051	320	Negative
Zm00001d046342	-49.00922409	2.82E-213	1.72E-05	-0.971691804	444	Negative
Zm00001d046234	-48.91827235	1.83E-111	1.75E-05	-0.969120775	488	Negative
Zm00001d046634	-48.85728672	2.34E-165	1.73E-05	-0.967399393	115	Negative
Zm00001d022084	-48.7229729	2.19E-120	1.80E-05	-0.963615864	294	Negative
Zm00001d042749	-48.69926838	3.09E-189	1.82E-05	-0.962951056	90	Negative
Zm00001d009494	-48.62179349	1.66E-125	1.91E-05	-0.960771567	203	Negative
Zm00001d004250	-48.59603982	5.81E-112	2.27E-05	-0.96006412	NA	additive
Zm00001d037708	-48.59137285	8.99E-70	2.16E-05	-0.959917609	293	Negative
Zm00001d008795	-48.46612533	1.19E-119	2.01E-05	-0.956407027	172	Negative
Zm00001d021773	-48.45895764	1.82E-47	1.75E-05	-0.95620638	312	Negative
Zm00001d000298	-48.39047152	2.80E-184	1.76E-05	-0.954290645	370	Negative
Zm00001d048307	-48.31404624	1.93E-182	1.75E-05	-0.95215583	225	Negative
Zm00001d039459	-48.2323209	7.98E-129	2.14E-05	-0.949876456	125	Negative
Zm00001d035475	-48.14316272	5.38E-156	1.79E-05	-0.947393875	486	Negative
Zm00001d027900	-48.08862995	1.81E-178	1.73E-05	-0.945877531	312	Negative
Zm00001d011879	-48.08092369	2.59E-23	1.76E-05	-0.945691638	227	Negative
Zm00001d018106	-48.04477292	8.08E-92	1.99E-05	-0.944672004	313	Negative
Zm00001d043651	-48.03965749	5.37E-181	1.76E-05	-0.944517154	453	Negative
Zm00001d012527	-48.01406642	1.77E-168	1.78E-05	-0.943806785	423	Negative
Zm00001d015658	-47.99019077	1.48E-169	1.76E-05	-0.943144349	323	Negative
Zm00001d038049	-47.97550822	3.32E-96	1.77E-05	-0.942737128	485	Negative
Zm00001d030557	-47.94496029	2.78E-186	1.71E-05	-0.94189025	494	Negative
Zm00001d006699	-47.90602926	7.82E-200	1.77E-05	-0.940811688	210	Negative
Zm00001d049418	-47.90200206	4.41E-181	1.72E-05	-0.940700162	410	Negative
Zm00001d034673	-47.86149626	6.41E-100	1.79E-05	-0.939578913	495	Negative
Zm00001d011486	-47.84675383	2.79E-115	1.76E-05	-0.939171042	483	Negative
Zm00001d042636	-47.8229933	1.25E-157	2.00E-05	-0.938513991	148	Negative
Zm00001d011237	-47.71536778	8.67E-94	1.79E-05	-0.935541131	164	Negative
Zm00001d017033	-47.71096345	1.76E-154	1.93E-05	-0.935419874	97	Negative
Zm00001d002799	-47.66609779	2.82E-99	2.48E-05	-0.934182461	131	Negative
Zm00001d011208	-47.64374649	1.52E-148	1.76E-05	-0.933572517	318	Negative
Zm00001d031778	-47.47879667	4.13E-90	2.45E-05	-0.929028617	189	Negative
Zm00001d025401	-47.39702901	3.24E-153	1.73E-05	-0.92678381	477	Negative
Zm00001d013099	-47.26737241	1.89E-204	1.73E-05	-0.923232209	200	Negative
Zm00001d021929	-47.25934704	3.87E-167	1.77E-05	-0.923012662	253	Negative
Zm00001d035162	-47.03588454	8.87E-198	1.76E-05	-0.916912867	341	Negative
Zm00001d010662	-46.9595656	9.80E-112	1.76E-05	-0.914835504	442	Negative
Zm00001d052390	-46.8510094	1.78E-109	2.31E-05	-0.911886818	80	Negative
Zm00001d012485	-46.81582762	8.58E-64	1.97E-05	-0.910931132	413	Negative
Zm00001d010171	-46.64002305	3.64E-136	1.78E-05	-0.906170051	489	Negative
Zm00001d043610	-46.60084921	2.51E-87	1.80E-05	-0.905111296	132	Negative
Zm00001d041082	-46.52457568	4.64E-202	1.75E-05	-0.90305207	467	Negative
Zm00001d024371	-46.48308351	1.03E-125	1.78E-05	-0.901933101	123	Negative
Zm00001d009619	-46.47254708	2.22E-188	1.74E-05	-0.901649144	74	Negative
Zm00001d017425	-46.42945434	8.59E-216	1.71E-05	-0.900488104	328	Negative
Zm00001d017065	-46.24899691	3.70E-98	1.86E-05	-0.895636417	285	Negative
Zm00001d042244	-46.07855415	7.31E-192	1.75E-05	-0.891068913	354	Negative
Zm00001d030915	-46.07367321	7.19E-126	1.77E-05	-0.890938327	427	Negative
Zm00001d043390	-45.94855077	2.40E-90	1.78E-05	-0.887594795	233	Negative
Zm00001d033747	-45.8864451	9.75E-158	1.72E-05	-0.885938075	385	Negative
Zm00001d051934	-45.87696865	1.09E-116	1.77E-05	-0.88568545	244	Negative
Zm00001d025281	-45.87677228	3.96E-139	1.70E-05	-0.885680216	194	Negative
Zm00001d008793	-45.76480732	1.81E-120	1.81E-05	-0.882701402	96	Negative
Zm00001d044908	-45.71208411	7.52E-96	2.05E-05	-0.881296995	159	Negative
Zm00001d040292	-45.66200757	2.16E-106	1.74E-05	-0.87996683	373	Negative
Zm00001d014335	-45.62668795	3.87E-173	1.79E-05	-0.879030906	199	Negative
Zm00001d038151	-45.58050299	2.65E-137	2.18E-05	-0.877804473	79	Negative
Zm00001d009945	-45.50890698	1.84E-120	2.26E-05	-0.875912182	NA	additive
Zm00001d045843	-45.45822227	9.55E-177	1.74E-05	-0.874567634	242	Negative
Zm00001d001832	-45.37582904	7.74E-180	1.73E-05	-0.872388616	244	Negative
Zm00001d003059	-45.31156448	3.05E-133	1.76E-05	-0.870692304	481	Negative
Zm00001d037689	-45.26808484	7.58E-144	1.75E-05	-0.869545755	411	Negative
Zm00001d045651	-45.23142899	4.03E-126	2.02E-05	-0.868579856	NA	additive
Zm00001d002285	-45.17674712	3.87E-128	1.75E-05	-0.867140163	191	Negative
Zm00001d003048	-45.09933819	1.77E-153	1.79E-05	-0.865104554	258	Negative
Zm00001d008288	-45.09821753	2.59E-140	1.76E-05	-0.865075106	82	Negative
Zm00001d030577	-45.07563184	3.61E-197	1.74E-05	-0.864481727	363	Negative
Zm00001d009118	-45.0266932	3.72E-161	1.75E-05	-0.863196831	280	Negative
Zm00001d031155	-44.97894524	3.52E-101	1.82E-05	-0.861944753	340	Negative
Zm00001d039648	-44.94137738	1.09E-79	2.09E-05	-0.860959576	361	Negative
Zm00001d011051	-44.8670023	5.81E-114	1.73E-05	-0.859012049	388	Negative
Zm00001d018712	-44.81719449	1.99E-96	1.73E-05	-0.857709289	125	Negative
Zm00001d017851	-44.78654404	1.82E-81	1.75E-05	-0.856908189	210	Negative
Zm00001d031449	-44.76000135	4.56E-177	1.75E-05	-0.856214822	284	Negative
Zm00001d049419	-44.72778896	2.84E-162	1.73E-05	-0.85537377	399	Negative
Zm00001d005609	-44.69505751	7.07E-137	1.95E-05	-0.854519678	74	Negative
Zm00001d038772	-44.67484295	1.20E-192	1.76E-05	-0.853992467	67	Negative
Zm00001d032311	-44.60907424	5.05E-58	1.80E-05	-0.852279285	405	Negative
Zm00001d021695	-44.5223966	5.13E-116	1.83E-05	-0.850022629	354	Negative
Zm00001d019734	-44.42873905	1.35E-162	1.75E-05	-0.847589118	209	Negative
Zm00001d035080	-44.30982501	1.69E-132	1.91E-05	-0.844509565	41	Negative
Zm00001d033797	-44.24071347	2.23E-154	1.72E-05	-0.842715994	246	Negative
Zm00001d006397	-44.19666643	8.29E-166	1.77E-05	-0.841576787	252	Negative
Zm00001d006526	-44.17037419	1.67E-115	1.80E-05	-0.840897208	159	Negative
Zm00001d048294	-44.16648275	1.22E-122	1.76E-05	-0.840796653	104	Negative
Zm00001d018414	-44.14220413	3.59E-153	1.77E-05	-0.840169448	121	Negative
Zm00001d017014	-44.08500858	3.47E-136	1.89E-05	-0.838694976	NA	additive
Zm00001d023779	-44.08376275	1.77E-158	1.73E-05	-0.838660814	478	Negative
Zm00001d019078	-44.01206005	8.94E-183	1.74E-05	-0.836811997	359	Negative
Zm00001d043512	-43.97526143	1.71E-189	1.75E-05	-0.835864083	350	Negative
Zm00001d029708	-43.91251272	7.60E-171	1.75E-05	-0.834249143	323	Negative
Zm00001d028400	-43.87122738	7.28E-148	1.76E-05	-0.833187583	288	Negative
Zm00001d019163	-43.82180671	2.59E-156	1.73E-05	-0.831917867	478	Negative
Zm00001d034068	-43.78388091	1.37E-136	2.12E-05	-0.830944482	228	Negative
Zm00001d042863	-43.62567399	8.94E-115	1.76E-05	-0.826889815	428	Negative
Zm00001d046474	-43.60710018	1.24E-161	1.78E-05	-0.826414824	432	Negative
Zm00001d050864	-43.58809958	1.22E-114	1.77E-05	-0.82592987	95	Negative
Zm00001d044027	-43.47229901	2.02E-134	1.71E-05	-0.822970072	60	Negative
Zm00001d050899	-43.37497762	2.00E-207	1.75E-05	-0.82048838	387	Negative
Zm00001d013313	-43.35173773	1.61E-94	2.01E-05	-0.819896394	41	Negative
Zm00001d054093	-43.34409861	2.92E-104	1.78E-05	-0.819701857	476	Negative
Zm00001d044022	-43.30584394	3.88E-66	2.38E-05	-0.818757585	NA	additive
Zm00001d012603	-43.30547305	3.82E-182	1.84E-05	-0.818718696	271	Negative
Zm00001d052963	-43.24691695	3.97E-154	1.80E-05	-0.817229415	64	Negative
Zm00001d014258	-43.24287169	1.77E-214	1.73E-05	-0.817126498	360	Negative
Zm00001d043665	-43.17723527	1.20E-210	1.71E-05	-0.815459067	398	Negative
Zm00001d008431	-43.16334868	1.51E-76	2.18E-05	-0.815106538	127	Negative
Zm00001d041327	-43.03016995	9.44E-169	1.89E-05	-0.811729992	114	Negative
Zm00001d046145	-42.99649826	3.83E-155	1.76E-05	-0.810877922	90	Negative
Zm00001d048644	-42.84210426	9.74E-97	2.38E-05	-0.80697529	151	Negative
Zm00001d018701	-42.79716306	2.83E-144	2.02E-05	-0.805841397	134	Negative
Zm00001d039103	-42.78911568	1.29E-130	1.74E-05	-0.80563845	132	Negative
Zm00001d040836	-42.77441541	5.58E-59	2.00E-05	-0.805267799	189	Negative
Zm00001d052206	-42.69820748	1.77E-75	1.77E-05	-0.803347825	354	Negative
Zm00001d044529	-42.68652542	2.20E-125	1.90E-05	-0.803053734	179	Negative
Zm00001d025288	-42.68253088	3.45E-38	2.07E-05	-0.803095011	63	Negative
Zm00001d024852	-42.67146533	2.02E-87	2.27E-05	-0.802675555	161	Negative
Zm00001d014134	-42.63948721	8.73E-167	1.71E-05	-0.801870174	460	Negative
Zm00001d029702	-42.50764881	6.54E-168	1.76E-05	-0.798558433	43	Negative
Zm00001d052744	-42.49401192	1.23E-228	1.73E-05	-0.798215904	287	Negative
Zm00001d020351	-42.39203544	1.34E-122	1.84E-05	-0.79565981	108	Negative
Zm00001d049127	-42.38535423	4.23E-183	1.72E-05	-0.7954925	241	Negative
Zm00001d035865	-42.35369446	4.03E-145	1.73E-05	-0.794699944	245	Negative
Zm00001d044442	-42.34076242	1.88E-138	1.76E-05	-0.794376334	473	Negative
Zm00001d021324	-42.26245622	2.10E-88	2.19E-05	-0.792420038	82	Negative
Zm00001d022457	-42.24051274	5.82E-103	1.85E-05	-0.79187016	338	Negative
Zm00001d027533	-42.18895393	2.86E-184	1.70E-05	-0.790582917	379	Negative
Zm00001d009112	-42.18838483	6.70E-166	1.76E-05	-0.790568718	56	Negative
Zm00001d052194	-42.14235178	6.69E-80	1.87E-05	-0.789420413	248	Negative
Zm00001d016616	-42.13221084	3.04E-153	1.76E-05	-0.789168686	90	Negative
Zm00001d026632	-42.05233438	3.00E-97	1.75E-05	-0.78717755	462	Negative
Zm00001d049061	-42.04918745	3.28E-120	1.75E-05	-0.787099205	166	Negative
Zm00001d046805	-41.94582381	1.55E-152	1.76E-05	-0.784528242	144	Negative
Zm00001d035553	-41.90863775	3.19E-118	1.90E-05	-0.783604433	141	Negative
Zm00001d036499	-41.90758465	7.21E-67	2.04E-05	-0.783591573	152	Negative
Zm00001d038874	-41.78587278	1.38E-138	1.73E-05	-0.780558791	211	Negative
