Gene	Media	p-value	thr001	log2(F1/MP)	MPH_gene_Num	sig
Zm00001d037599	11.82522084	3.79E-63	1.70E-05	0.161245607	52	Positive
Zm00001d051923	11.82532867	5.34E-23	1.76E-05	0.161246962	203	Positive
Zm00001d006128	11.82882222	6.63E-66	1.69E-05	0.161292069	NA	additive
Zm00001d041853	11.83229259	3.64E-19	1.76E-05	0.16133684	41	Positive
Zm00001d020738	11.83444325	6.05E-28	1.80E-05	0.161364584	NA	additive
Zm00001d033502	11.83668336	2.67E-82	1.68E-05	0.161393482	NA	additive
Zm00001d018104	11.84012971	4.46E-30	1.73E-05	0.161437939	NA	additive
Zm00001d020238	11.84057732	5.87E-37	1.74E-05	0.161443713	48	Positive
Zm00001d009500	11.84128597	6.14E-29	2.05E-05	0.161452854	NA	additive
Zm00001d027894	11.84274993	4.73E-17	1.70E-05	0.161471738	NA	additive
Zm00001d029645	11.8479252	7.54E-35	1.78E-05	0.161538084	NA	additive
Zm00001d026351	11.85179458	5.58E-44	1.71E-05	0.161588404	NA	additive
Zm00001d004924	11.85394425	1.27E-20	1.98E-05	0.16161613	NA	additive
Zm00001d038917	11.85467241	7.38E-62	1.71E-05	0.161625522	NA	additive
Zm00001d030609	11.85669864	1.04E-59	1.71E-05	0.161651656	NA	additive
Zm00001d049914	11.86043974	2.67E-64	1.70E-05	0.161699907	NA	additive
Zm00001d034257	11.86161691	1.55E-16	1.86E-05	0.161715089	NA	additive
Zm00001d032443	11.86226452	1.89E-22	1.75E-05	0.161723441	169	Positive
Zm00001d033160	11.86256604	9.15E-28	1.68E-05	0.16172733	NA	additive
Zm00001d040366	11.86327736	2.26E-29	2.18E-05	0.161736504	NA	additive
Zm00001d035920	11.86685257	1.20E-57	1.69E-05	0.161782613	NA	additive
Zm00001d019677	11.87137171	1.30E-63	1.68E-05	0.161840893	NA	additive
Zm00001d020097	11.87333581	4.38E-71	1.71E-05	0.161866221	NA	additive
Zm00001d007638	11.87453119	4.96E-102	1.74E-05	0.161881637	NA	additive
Zm00001d014507	11.87998338	4.72E-36	1.69E-05	0.161951945	NA	additive
Zm00001d052616	11.88560051	4.43E-18	1.83E-05	0.162024376	NA	additive
Zm00001d028332	11.88858509	1.02E-69	1.74E-05	0.16206286	44	Positive
Zm00001d006581	11.89720226	3.21E-19	1.76E-05	0.162173711	NA	additive
Zm00001d026621	11.89729159	1.28E-86	1.74E-05	0.162175117	NA	additive
Zm00001d019576	11.89782431	3.39E-26	1.69E-05	0.162181986	NA	additive
Zm00001d027852	11.90181851	7.28E-36	1.70E-05	0.162233482	NA	additive
Zm00001d004817	11.90368809	1.33E-27	1.75E-05	0.162257585	34	Positive
Zm00001d037522	11.90730861	5.69E-31	1.76E-05	0.162304261	NA	additive
Zm00001d018242	11.90816883	1.25E-49	1.72E-05	0.162315351	NA	additive
Zm00001d009488	11.90982867	1.47E-65	1.72E-05	0.162336749	95	Positive
Zm00001d024698	11.91250839	2.28E-57	1.73E-05	0.162371294	NA	additive
Zm00001d038513	11.91755319	1.96E-80	1.71E-05	0.162436327	NA	additive
Zm00001d000197	11.9176338	1.82E-26	1.75E-05	0.162437366	NA	additive
Zm00001d023560	11.91787884	4.42E-26	1.98E-05	0.162440525	NA	additive
Zm00001d031120	11.91921853	1.42E-44	1.69E-05	0.162457794	128	Positive
Zm00001d033648	11.91998206	1.13E-46	1.71E-05	0.162467636	NA	additive
Zm00001d005252	11.92353672	3.95E-56	1.75E-05	0.162513457	NA	additive
Zm00001d025353	11.92431823	2.63E-45	1.72E-05	0.162523477	NA	additive
Zm00001d019269	11.92475089	2.68E-22	1.77E-05	0.162529107	NA	additive
Zm00001d050339	11.93681551	1.24E-38	1.71E-05	0.16268461	35	Positive
Zm00001d007478	11.93909035	2.31E-10	1.99E-05	0.162713929	NA	additive
Zm00001d032152	11.94109286	1.92E-21	1.75E-05	0.162739738	181	Positive
Zm00001d052263	11.94156776	3.92E-29	1.73E-05	0.162745858	58	Positive
Zm00001d012707	11.95245191	8.98E-31	2.09E-05	0.162885869	NA	additive
Zm00001d048086	11.95761056	2.28E-20	1.79E-05	0.162952602	61	Positive
Zm00001d022176	11.95996109	3.99E-48	1.74E-05	0.162982891	NA	additive
Zm00001d017423	11.96051447	1.72E-25	1.83E-05	0.162990021	NA	additive
Zm00001d009230	11.97122108	1.19E-25	1.88E-05	0.163127977	NA	additive
Zm00001d017170	11.97580567	3.11E-30	2.18E-05	0.163187046	NA	additive
Zm00001d007067	11.97841893	4.95E-83	1.69E-05	0.163220715	NA	additive
Zm00001d000116	11.98066303	2.21E-55	1.69E-05	0.163249627	64	Positive
Zm00001d046927	11.98687057	6.94E-22	1.72E-05	0.163329448	NA	additive
Zm00001d019100	11.9918768	5.91E-12	1.74E-05	0.163394092	116	Positive
Zm00001d053746	11.99732422	2.43E-14	1.77E-05	0.163464265	97	Positive
Zm00001d003559	11.99767471	3.06E-12	1.78E-05	0.163468779	215	Positive
Zm00001d046569	11.99950391	3.37E-97	1.76E-05	0.163492342	NA	additive
Zm00001d004190	12.00112453	7.85E-53	1.71E-05	0.163513173	NA	additive
Zm00001d026684	12.00396529	4.36E-19	2.27E-05	0.163549809	NA	additive
Zm00001d038066	12.00923747	1.95E-46	1.71E-05	0.163617717	NA	additive
Zm00001d002696	12.01030955	9.57E-28	1.76E-05	0.163631418	NA	additive
Zm00001d012648	12.01172807	2.61E-18	2.23E-05	0.163649796	NA	additive
Zm00001d005300	12.01371033	6.23E-29	1.71E-05	0.163675327	NA	additive
Zm00001d038688	12.01690304	7.81E-37	1.76E-05	0.163716301	NA	additive
Zm00001d018930	12.02218052	8.38E-34	1.92E-05	0.163784279	NA	additive
Zm00001d013116	12.02922039	1.49E-80	1.71E-05	0.163875077	NA	additive
Zm00001d039745	12.03642874	1.89E-45	1.74E-05	0.163967902	72	Positive
Zm00001d034630	12.03849356	2.48E-83	1.71E-05	0.163994491	NA	additive
Zm00001d014126	12.04206918	2.20E-13	1.78E-05	0.164040532	NA	additive
Zm00001d053228	12.04951713	7.21E-31	1.74E-05	0.164136432	141	Positive
Zm00001d002726	12.0532871	1.32E-18	2.05E-05	0.164184971	100	Positive
Zm00001d039589	12.05469346	6.81E-15	1.82E-05	0.164203078	218	Positive
Zm00001d019656	12.0570004	2.14E-47	1.70E-05	0.164232779	NA	additive
Zm00001d007147	12.05913486	1.08E-13	2.32E-05	0.164259219	NA	additive
Zm00001d005090	12.06065302	1.35E-44	1.78E-05	0.164279805	180	Positive
Zm00001d002630	12.0611206	2.22E-28	1.71E-05	0.164285825	NA	additive
Zm00001d017046	12.06161366	2.00E-39	2.02E-05	0.164292172	NA	additive
Zm00001d007975	12.06170619	4.12E-60	1.80E-05	0.164293364	NA	additive
Zm00001d043230	12.06403858	2.82E-56	1.71E-05	0.164323391	NA	additive
Zm00001d025939	12.06942306	2.09E-44	1.73E-05	0.164392708	39	Positive
Zm00001d033585	12.07325574	3.57E-28	1.76E-05	0.164442046	121	Positive
Zm00001d023808	12.07459294	2.51E-67	1.72E-05	0.164459259	NA	additive
Zm00001d047536	12.07612965	1.92E-88	1.75E-05	0.164479041	34	Positive
Zm00001d017111	12.07716719	6.83E-35	1.68E-05	0.164492396	87	Positive
Zm00001d008839	12.08485003	1.37E-44	1.74E-05	0.16459123	NA	additive
Zm00001d020018	12.0858727	5.11E-20	1.76E-05	0.164604452	NA	additive
Zm00001d003999	12.08959513	6.49E-17	1.77E-05	0.164652265	NA	additive
Zm00001d003180	12.09656561	1.78E-42	1.76E-05	0.164742059	NA	additive
Zm00001d043959	12.09996082	4.43E-60	1.72E-05	0.164785774	NA	additive
Zm00001d035616	12.10118137	3.60E-30	1.68E-05	0.164801482	180	Positive
Zm00001d038690	12.10325854	2.66E-72	1.71E-05	0.164828214	NA	additive
Zm00001d010723	12.10367093	3.35E-50	1.69E-05	0.164833521	NA	additive
Zm00001d013006	12.10399304	1.41E-31	1.74E-05	0.164837615	57	Positive
Zm00001d020549	12.10545746	3.28E-39	1.72E-05	0.164856294	NA	additive
Zm00001d011900	12.10697215	3.34E-51	1.73E-05	0.164876005	NA	additive
Zm00001d003119	12.1074207	2.41E-78	1.72E-05	0.164881777	NA	additive
Zm00001d027457	12.10771704	3.68E-12	2.33E-05	0.16488553	NA	additive
Zm00001d034080	12.10788492	1.06E-83	1.75E-05	0.164887751	32	Positive
Zm00001d021298	12.10845602	9.04E-16	1.89E-05	0.164895101	NA	additive
Zm00001d043413	12.10935997	2.32E-19	1.78E-05	0.164906733	53	Positive
Zm00001d017091	12.11278206	5.75E-69	1.68E-05	0.16495077	NA	additive
Zm00001d001763	12.11283276	1.18E-28	1.70E-05	0.164951423	NA	additive
Zm00001d018806	12.11503293	3.71E-35	1.71E-05	0.164979735	NA	additive
Zm00001d028424	12.11649362	9.69E-60	1.70E-05	0.164998531	NA	additive
Zm00001d021169	12.11876147	9.70E-58	1.70E-05	0.165027713	NA	additive
Zm00001d000227	12.12022839	3.01E-53	1.74E-05	0.165046588	68	Positive
Zm00001d022460	12.12212418	3.17E-13	2.07E-05	0.165070982	NA	additive
Zm00001d018477	12.12257325	5.68E-47	1.71E-05	0.16507676	NA	additive
Zm00001d011255	12.12291719	2.87E-57	1.69E-05	0.165081186	NA	additive
Zm00001d015976	12.12413685	1.29E-20	1.81E-05	0.165096879	NA	additive
Zm00001d011956	12.13412794	1.76E-60	1.74E-05	0.165225403	NA	additive
Zm00001d007331	12.1364747	5.06E-31	1.72E-05	0.165253764	NA	additive
Zm00001d029946	12.14334366	6.77E-33	1.80E-05	0.165343873	NA	additive
Zm00001d020650	12.14867008	1.50E-32	1.81E-05	0.165412507	NA	additive
Zm00001d040147	12.15613887	2.83E-21	2.11E-05	0.165508587	NA	additive
Zm00001d044667	12.16480184	8.19E-35	1.78E-05	0.165620018	67	Positive
Zm00001d006011	12.16640161	3.24E-74	1.70E-05	0.165640595	NA	additive
Zm00001d037911	12.17281676	2.08E-21	2.07E-05	0.165722915	NA	additive
Zm00001d023279	12.17595883	7.27E-26	2.22E-05	0.165763516	NA	additive
Zm00001d014456	12.17702692	8.69E-45	1.75E-05	0.165777252	NA	additive
Zm00001d022594	12.17739828	5.01E-46	1.70E-05	0.165782028	NA	additive
Zm00001d008503	12.1780588	6.00E-40	1.75E-05	0.165790523	NA	additive
Zm00001d002075	12.17818841	1.76E-27	1.69E-05	0.16579219	NA	additive
Zm00001d039682	12.18553859	4.51E-34	1.75E-05	0.165886584	NA	additive
Zm00001d017953	12.1860539	1.10E-40	1.71E-05	0.165893342	NA	additive
Zm00001d032621	12.1874315	2.52E-58	1.70E-05	0.165911058	NA	additive
Zm00001d046759	12.19329658	6.93E-34	1.74E-05	0.165984535	NA	additive
Zm00001d011997	12.1966873	6.01E-44	1.78E-05	0.16603008	NA	additive
Zm00001d015613	12.2046106	8.24E-36	1.74E-05	0.166131959	92	Positive
Zm00001d022565	12.21275246	4.03E-52	1.70E-05	0.166236641	NA	additive
Zm00001d052389	12.21391691	8.18E-17	2.15E-05	0.166251602	NA	additive
Zm00001d002340	12.21795227	3.69E-89	1.72E-05	0.166303492	NA	additive
Zm00001d006057	12.21815466	2.31E-38	1.71E-05	0.166306094	NA	additive
Zm00001d001877	12.22139989	5.07E-97	1.70E-05	0.166347815	NA	additive
Zm00001d037010	12.22259285	6.56E-70	1.74E-05	0.166363151	NA	additive
Zm00001d005370	12.22292505	2.92E-52	1.69E-05	0.166367422	NA	additive
Zm00001d012290	12.22432408	1.87E-18	2.04E-05	0.166385311	NA	additive
Zm00001d049059	12.22628716	5.31E-25	1.75E-05	0.166410643	260	Positive
Zm00001d053665	12.22679832	3.58E-54	1.71E-05	0.166417214	NA	additive
Zm00001d052057	12.23495466	2.00E-79	1.69E-05	0.166522062	NA	additive
Zm00001d027892	12.23613435	2.98E-25	1.71E-05	0.166537225	NA	additive
Zm00001d009686	12.23710459	1.02E-29	1.69E-05	0.166549697	NA	additive
Zm00001d037544	12.2381422	7.48E-67	1.67E-05	0.166563034	NA	additive
Zm00001d049292	12.23931124	2.90E-13	1.85E-05	0.166578061	NA	additive
